Threat Actor,Tool,Type
ShroudedSnooper,HAZIZDOOR,Web Shell
ShroudedSnooper,HEADTOE,Web Shell
ShroudedSnooper,OBFUSLAY,Obfuscation
ShroudedSnooper,ROTPIPE,Backdoor
ShroudedSnooper,SASHEYAWAY,Dropper
ShroudedSnooper,STAYSHANTE,Web Shell
ShroudedSnooper,TANKSHELL,Web Shell
ShroudedSnooper,TEMPLEDOOR,Backdoor
ShroudedSnooper,Tunna WebShell,Web Shell
ShroudedSnooper,WinTapix,Loader
ShroudedSnooper,XORO,Obfuscation
ShroudedSnooper,TOFUPIPE,Backdoor
ShroudedSnooper,FACEFACE,Web Shell
Emennet Pasargad,Telegram,Non-malicious tool
Emennet Pasargad,Shodan,Reconnaissance
Emennet Pasargad,Acunetix Web Vulnerability Scanner,Vulnerability scanner
Emennet Pasargad,Burp Suite,Reconnaissance
Emennet Pasargad,Burp Suite,Vulnerability scanner
Emennet Pasargad,IP2location,Non-malicious tool
Emennet Pasargad,MASSCAN,Reconnaissance
Emennet Pasargad,Subdomain Finder - C99.nl,Non-malicious tool
Emennet Pasargad,sqlmap,Vulnerability scanner
APT34,Ngrok,Backdoor
APT34,Ngrok,Non-malicious tool
APT34,Ngrok,Tunneling
APT34,STEALHOOK,Backdoor
APT34,STEALHOOK,Info stealer
APT34,RunPE-In-Memory,Non-malicious tool
UNK_CraftyCamel,Sosano Backdoor,Backdoor
UNK_CraftyCamel,Cmd,Non-malicious tool
UNK_CraftyCamel,Cmd,OS native tool
UNK_CraftyCamel,Mshta,Non-malicious tool
UNK_CraftyCamel,Mshta,OS native tool
Emennet Pasargad,WezRat,Info stealer
Emennet Pasargad,WezRat,Remote Access Trojan (RAT)
Emennet Pasargad,Cmd,Non-malicious tool
Emennet Pasargad,Cmd,OS native tool
APT35,Whatsapp,Non-malicious tool
APT35,JavaScript,Backdoor
APT35,JavaScript,Credential stealer
APT35,JavaScript,Downloader
APT35,JavaScript,Dropper
APT35,JavaScript,Exfiltration
APT35,JavaScript,Info stealer
APT35,JavaScript,Loader
APT35,JavaScript,Non-malicious tool
APT35,JavaScript,Reconnaissance
APT35,Google Sites,Non-malicious tool
APT35,Regsvr32,Non-malicious tool
APT35,Regsvr32,OS native tool
APT35,cd,OS native tool
APT35,copy,OS native tool
APT35,findstr,Non-malicious tool
APT35,rm,OS native tool
APT35,start,OS native tool
APT35,Invoke-WebRequest,Non-malicious tool
APT35,Invoke-WebRequest,OS native tool
Parisite,Angry IP Scanner,Non-malicious tool
Parisite,Angry IP Scanner,Reconnaissance
Parisite,DarkLoadLibrary,Non-malicious tool
Parisite,Havoc Framework,Control panel
Parisite,MeshCentral Agent,Non-malicious tool
Parisite,NanoDump,Credential stealer
Parisite,NanoDump,Non-malicious tool
Parisite,Ngrok,Backdoor
Parisite,Ngrok,Non-malicious tool
Parisite,Ngrok,Tunneling
Parisite,NirSoft Network Password Recovery,Non-malicious tool
Parisite,Plink,Tunneling
Parisite,PsExec,Non-malicious tool
Parisite,PuTTY,Non-malicious tool
Parisite,PuTTY,Tunneling
Parisite,RecShell,Web Shell
Parisite,RemoteInjector,Loader
Parisite,ReverseSocks5,Non-malicious tool
Parisite,Snaffler,Credential stealer
Parisite,Snaffler,Non-malicious tool
Parisite,SoftPerfect Network Scanner,Reconnaissance
Parisite,SystemBC,Backdoor
Parisite,SystemBC,Credential stealer
Parisite,SystemBC,Dropper
Parisite,SystemBC,Info stealer
Parisite,SystemBC,Tunneling
Parisite,TightVNC,Backdoor
Parisite,TightVNC,Exfiltration
Parisite,TightVNC,Info stealer
Parisite,TightVNC,Keylogger
Parisite,TightVNC,Remote command
Parisite,WinPEAS,Non-malicious tool
Parisite,CredInterceptor,Credential stealer
Parisite,DropShell,Web Shell
Parisite,EmbedShell,Web Shell
Parisite,HXLibrary,Backdoor
Parisite,HanifNet,Backdoor
Parisite,NeoExpressRAT,Remote Access Trojan (RAT)
Parisite,Password Filter,Non-malicious tool
Parisite,Google Workspace,Non-malicious tool
Parisite,SoftEther VPN,Non-malicious tool
Parisite,DiscordGo,Non-malicious tool
Parisite,Goja,Non-malicious tool
Parisite,HashiCorp Yamux,Non-malicious tool
Parisite,go-socks5,Non-malicious tool
Parisite,Console,Non-malicious tool
Parisite,Cmd,Non-malicious tool
Parisite,Cmd,OS native tool
Parisite,Mimikatz,Credential stealer
Parisite,Ping Castle,Non-malicious tool
Parisite,PowerShell,Non-malicious tool
Parisite,PowerShell,OS native tool
Parisite,AnyDesk,Non-malicious tool
Parisite,AnyDesk,Remote command
Parisite,UltraViewer,Non-malicious tool
Parisite,Console Windows Host,OS native tool
Parisite,Netsh,Non-malicious tool
Parisite,Netsh,OS native tool
Parisite,Netsh,Remote command
Parisite,ipconfig,OS native tool
Parisite,ipconfig,Reconnaissance
Parisite,netstat,Non-malicious tool
Parisite,netstat,OS native tool
Parisite,netstat,Reconnaissance
Parisite,ssh,Non-malicious tool
Parisite,ssh,OS native tool
Parisite,findstr,Non-malicious tool
Parisite,Vultr,Non-malicious tool
Parisite,VSSAdmin,OS native tool
Parisite,JavaScript,Backdoor
Parisite,JavaScript,Credential stealer
Parisite,JavaScript,Downloader
Parisite,JavaScript,Dropper
Parisite,JavaScript,Exfiltration
